Note,CashIn,CashOut
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Chuyển tiền tới Toi La Ai,50000,0
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Chuyển tiền tới Toi La Ai,50000,0
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Nạp tiền vào tài khoản ZaloPay,50000,0
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Automation API,0,1000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,70000,0
Automation API,0,51000
Automation API,70000,0
Automation API,0,51000
Automation API,0,51000
Automation API,10000,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Cashback regresstion,1,0
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Chuyển tiền tới Toi La Ai,500000,0
Automation API,0,301000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,51000
Nạp tiền vào tài khoản ZaloPay,5000,0
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,51000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,1000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,51000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,51000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
