Tiền vào (VND),Tiền ra (VND),Chú thích
10000,0,Nạp tiền vào tài khoản ZaloPay
0,1000,
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
0,1000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
70000,0,Automation API
0,51000,Automation API
70000,0,Automation API
0,51000,Automation API
0,51000,Automation API
10000,0,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
1,0,Cashback regresstion
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
500000,0,Chuyển tiền tới Toi La Ai
0,301000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,51000,Automation API
5000,0,Nạp tiền vào tài khoản ZaloPay
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,51000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,1000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,51000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,51000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,51000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
